Task 3- Release:  0.100, Completion:  0.191, Response: 0.091, WCRT: 0.091, Next Release:  0.700
Task 1- Release:  0.100, Completion:  0.200, Response: 0.100, WCRT: 0.100, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.204, Response: 0.104, WCRT: 0.104, Next Release:  0.500
Task 1- Release:  0.400, Completion:  0.482, Response: 0.082, WCRT: 0.100, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.616, Response: 0.116, WCRT: 0.116, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.782, Response: 0.082, WCRT: 0.100, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.793, Response: 0.093, WCRT: 0.093, Next Release:  1.300
Task 2- Release:  0.900, Completion:  1.003, Response: 0.103, WCRT: 0.116, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.070, Response: 0.071, WCRT: 0.100, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.409, Response: 0.109, WCRT: 0.109, Next Release:  1.600
Task 3- Release:  1.300, Completion:  1.417, Response: 0.117, WCRT: 0.117, Next Release:  1.900
Task 2- Release:  1.300, Completion:  1.422, Response: 0.122, WCRT: 0.122, Next Release:  1.700
Task 1- Release:  1.600, Completion:  1.677, Response: 0.077, WCRT: 0.109, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.779, Response: 0.079, WCRT: 0.122, Next Release:  2.100
Task 3- Release:  1.900, Completion:  1.976, Response: 0.076, WCRT: 0.117, Next Release:  2.500
Task 1- Release:  1.900, Completion:  1.977, Response: 0.077, WCRT: 0.109, Next Release:  2.200
Task 2- Release:  2.100, Completion:  2.172, Response: 0.072, WCRT: 0.122, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.280, Response: 0.080, WCRT: 0.109, Next Release:  2.500
Task 3- Release:  2.500, Completion:  2.583, Response: 0.083, WCRT: 0.117, Next Release:  3.100
Task 1- Release:  2.500, Completion:  2.588, Response: 0.088, WCRT: 0.109, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.598, Response: 0.098, WCRT: 0.122, Next Release:  2.900
Task 1- Release:  2.800, Completion:  2.910, Response: 0.110, WCRT: 0.110, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.007, Response: 0.107, WCRT: 0.122, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.217, Response: 0.117, WCRT: 0.117, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.219, Response: 0.119, WCRT: 0.119, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.450, Response: 0.150, WCRT: 0.150, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.531, Response: 0.131, WCRT: 0.131, Next Release:  3.700
Task 3- Release:  3.700, Completion:  3.803, Response: 0.103, WCRT: 0.119, Next Release:  4.300
Task 1- Release:  3.700, Completion:  3.805, Response: 0.105, WCRT: 0.131, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.816, Response: 0.116, WCRT: 0.150, Next Release:  4.100
Task 1- Release:  4.000, Completion:  4.118, Response: 0.118, WCRT: 0.131, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.219, Response: 0.119, WCRT: 0.150, Next Release:  4.500
Task 3- Release:  4.300, Completion:  4.428, Response: 0.128, WCRT: 0.128, Next Release:  4.900
Task 1- Release:  4.300, Completion:  4.431, Response: 0.131, WCRT: 0.131, Next Release:  4.600
