Task 1- Release:  0.100, Completion:  0.390, Response: 0.290, WCRT: 0.290, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.396, Response: 0.296, WCRT: 0.296, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.433, Response: 0.333, WCRT: 0.333, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.528, Response: 0.128, WCRT: 0.290, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.621, Response: 0.121, WCRT: 0.296, Next Release:  0.900
Task 3- Release:  0.700, Completion:  0.831, Response: 0.131, WCRT: 0.333, Next Release:  1.300
Task 1- Release:  0.700, Completion:  0.887, Response: 0.187, WCRT: 0.290, Next Release:  1.000
Task 2- Release:  0.900, Completion:  0.994, Response: 0.094, WCRT: 0.296, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.080, Response: 0.080, WCRT: 0.290, Next Release:  1.300
Task 4- Release:  0.100, Completion:  1.126, Response: 1.026, WCRT: 1.026, Next Release:  1.300
Task 3- Release:  1.300, Completion:  1.418, Response: 0.118, WCRT: 0.333, Next Release:  1.900
Task 2- Release:  1.300, Completion:  1.471, Response: 0.171, WCRT: 0.296, Next Release:  1.700
Task 1- Release:  1.300, Completion:  1.507, Response: 0.207, WCRT: 0.290, Next Release:  1.600
Task 1- Release:  1.600, Completion:  1.677, Response: 0.078, WCRT: 0.290, Next Release:  1.900
Task 4- Release:  1.300, Completion:  1.697, Response: 0.397, WCRT: 1.026, Next Release:  2.500
Task 2- Release:  1.700, Completion:  1.780, Response: 0.080, WCRT: 0.296, Next Release:  2.100
Task 1- Release:  1.900, Completion:  2.047, Response: 0.147, WCRT: 0.290, Next Release:  2.200
Task 2- Release:  2.100, Completion:  2.187, Response: 0.087, WCRT: 0.296, Next Release:  2.500
Task 3- Release:  1.900, Completion:  2.113, Response: 0.213, WCRT: 0.333, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.274, Response: 0.074, WCRT: 0.290, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.732, Response: 0.232, WCRT: 0.290, Next Release:  2.800
Task 3- Release:  2.500, Completion:  2.758, Response: 0.258, WCRT: 0.333, Next Release:  3.100
Task 2- Release:  2.500, Completion:  2.785, Response: 0.285, WCRT: 0.296, Next Release:  2.900
Task 1- Release:  2.800, Completion:  2.897, Response: 0.097, WCRT: 0.290, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.000, Response: 0.100, WCRT: 0.296, Next Release:  3.300
Task 3- Release:  3.100, Completion:  3.267, Response: 0.167, WCRT: 0.333, Next Release:  3.700
Task 1- Release:  3.100, Completion:  3.288, Response: 0.188, WCRT: 0.290, Next Release:  3.400
Task 2- Release:  3.300, Completion:  3.397, Response: 0.097, WCRT: 0.296, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.499, Response: 0.099, WCRT: 0.290, Next Release:  3.700
Task 4- Release:  2.500, Completion:  3.527, Response: 1.027, WCRT: 1.027, Next Release:  3.700
Task 2- Release:  3.700, Completion:  3.854, Response: 0.154, WCRT: 0.296, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.949, Response: 0.249, WCRT: 0.333, Next Release:  4.300
Task 1- Release:  3.700, Completion:  3.976, Response: 0.276, WCRT: 0.290, Next Release:  4.000
Task 1- Release:  4.000, Completion:  4.116, Response: 0.116, WCRT: 0.290, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.217, Response: 0.117, WCRT: 0.296, Next Release:  4.500
Task 3- Release:  4.300, Completion:  4.474, Response: 0.174, WCRT: 0.333, Next Release:  4.900
Task 1- Release:  4.300, Completion:  4.502, Response: 0.202, WCRT: 0.290, Next Release:  4.600
Task 2- Release:  4.500, Completion:  4.608, Response: 0.108, WCRT: 0.296, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.715, Response: 0.116, WCRT: 0.290, Next Release:  4.900
Task 4- Release:  3.700, Completion:  4.791, Response: 1.091, WCRT: 1.091, Next Release:  4.900
Task 1- Release:  4.900, Completion:  5.227, Response: 0.327, WCRT: 0.327, Next Release:  5.200 ==> Task 1 violates Deadline!
Task 3- Release:  4.900, Completion:  5.244, Response: 0.344, WCRT: 0.344, Next Release:  5.500
Task 2- Release:  4.900, Completion:  5.252, Response: 0.352, WCRT: 0.352, Next Release:  5.300
Task 1- Release:  5.200, Completion:  5.353, Response: 0.153, WCRT: 0.327, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.455, Response: 0.156, WCRT: 0.352, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.682, Response: 0.183, WCRT: 0.327, Next Release:  5.800
Task 3- Release:  5.500, Completion:  5.781, Response: 0.281, WCRT: 0.344, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.889, Response: 0.190, WCRT: 0.352, Next Release:  6.100
Task 1- Release:  5.800, Completion:  5.956, Response: 0.156, WCRT: 0.327, Next Release:  6.100
Task 2- Release:  6.100, Completion:  6.257, Response: 0.158, WCRT: 0.352, Next Release:  6.500
Task 3- Release:  6.100, Completion:  6.352, Response: 0.252, WCRT: 0.344, Next Release:  6.700
Task 1- Release:  6.100, Completion:  6.375, Response: 0.275, WCRT: 0.327, Next Release:  6.400
Task 4- Release:  4.900, Completion:  6.383, Response: 1.483, WCRT: 1.483, Next Release:  6.100 ==> Task 4 violates Deadline!
Task 1- Release:  6.400, Completion:  6.504, Response: 0.104, WCRT: 0.327, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.604, Response: 0.104, WCRT: 0.352, Next Release:  6.900
Task 1- Release:  6.700, Completion:  6.853, Response: 0.153, WCRT: 0.327, Next Release:  7.000
Task 3- Release:  6.700, Completion:  6.863, Response: 0.163, WCRT: 0.344, Next Release:  7.300
Task 2- Release:  6.900, Completion:  6.983, Response: 0.083, WCRT: 0.352, Next Release:  7.300
Task 4- Release:  6.100, Completion:  6.985, Response: 0.885, WCRT: 1.483, Next Release:  7.300
Task 1- Release:  7.000, Completion:  7.079, Response: 0.079, WCRT: 0.327, Next Release:  7.300
Task 3- Release:  7.300, Completion:  7.518, Response: 0.218, WCRT: 0.344, Next Release:  7.900
Task 1- Release:  7.300, Completion:  7.623, Response: 0.323, WCRT: 0.327, Next Release:  7.600 ==> Task 1 violates Deadline!
Task 2- Release:  7.300, Completion:  7.636, Response: 0.336, WCRT: 0.352, Next Release:  7.700
Task 1- Release:  7.600, Completion:  7.789, Response: 0.189, WCRT: 0.327, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.846, Response: 0.146, WCRT: 0.352, Next Release:  8.100
Task 3- Release:  7.900, Completion:  8.034, Response: 0.134, WCRT: 0.344, Next Release:  8.500
Task 1- Release:  7.900, Completion:  8.066, Response: 0.166, WCRT: 0.327, Next Release:  8.200
Task 2- Release:  8.100, Completion:  8.209, Response: 0.109, WCRT: 0.352, Next Release:  8.500
Task 1- Release:  8.200, Completion:  8.307, Response: 0.107, WCRT: 0.327, Next Release:  8.500
Task 4- Release:  7.300, Completion:  8.406, Response: 1.106, WCRT: 1.483, Next Release:  8.500
Task 2- Release:  8.500, Completion:  8.630, Response: 0.130, WCRT: 0.352, Next Release:  8.900
Task 1- Release:  8.500, Completion:  8.659, Response: 0.159, WCRT: 0.327, Next Release:  8.800
Task 3- Release:  8.500, Completion:  8.689, Response: 0.189, WCRT: 0.344, Next Release:  9.100
Task 1- Release:  8.800, Completion:  8.865, Response: 0.065, WCRT: 0.327, Next Release:  9.100
Task 4- Release:  8.500, Completion:  8.872, Response: 0.372, WCRT: 1.483, Next Release:  9.700
Task 2- Release:  8.900, Completion:  8.983, Response: 0.083, WCRT: 0.352, Next Release:  9.300
Task 1- Release:  9.100, Completion:  9.204, Response: 0.105, WCRT: 0.327, Next Release:  9.400
Task 3- Release:  9.100, Completion:  9.235, Response: 0.135, WCRT: 0.344, Next Release:  9.700
Task 2- Release:  9.300, Completion:  9.371, Response: 0.071, WCRT: 0.352, Next Release:  9.700
Task 1- Release:  9.400, Completion:  9.490, Response: 0.091, WCRT: 0.327, Next Release:  9.700
Task 3- Release:  9.700, Completion:  9.912, Response: 0.212, WCRT: 0.344, Next Release: 10.300
Task 1- Release:  9.700, Completion:  9.918, Response: 0.218, WCRT: 0.327, Next Release: 10.000
Task 2- Release:  9.700, Completion:  9.926, Response: 0.226, WCRT: 0.352, Next Release: 10.100
Task 1- Release: 10.000, Completion: 10.072, Response: 0.072, WCRT: 0.327, Next Release: 10.300
Task 2- Release: 10.100, Completion: 10.176, Response: 0.076, WCRT: 0.352, Next Release: 10.500
Task 4- Release:  9.700, Completion: 10.193, Response: 0.493, WCRT: 1.483, Next Release: 10.900
Task 1- Release: 10.300, Completion: 10.398, Response: 0.099, WCRT: 0.327, Next Release: 10.600
Task 3- Release: 10.300, Completion: 10.428, Response: 0.128, WCRT: 0.344, Next Release: 10.900
Task 2- Release: 10.500, Completion: 10.606, Response: 0.106, WCRT: 0.352, Next Release: 10.900
Task 1- Release: 10.600, Completion: 10.697, Response: 0.097, WCRT: 0.327, Next Release: 10.900
Task 2- Release: 10.900, Completion: 11.056, Response: 0.156, WCRT: 0.352, Next Release: 11.300
Task 3- Release: 10.900, Completion: 11.200, Response: 0.300, WCRT: 0.344, Next Release: 11.500
Task 1- Release: 10.900, Completion: 11.204, Response: 0.305, WCRT: 0.327, Next Release: 11.200 ==> Task 1 violates Deadline!
Task 1- Release: 11.200, Completion: 11.293, Response: 0.093, WCRT: 0.327, Next Release: 11.500
Task 2- Release: 11.300, Completion: 11.404, Response: 0.104, WCRT: 0.352, Next Release: 11.700
Task 1- Release: 11.500, Completion: 11.713, Response: 0.213, WCRT: 0.327, Next Release: 11.800
Task 3- Release: 11.500, Completion: 11.726, Response: 0.226, WCRT: 0.344, Next Release: 12.100
Task 2- Release: 11.700, Completion: 11.856, Response: 0.156, WCRT: 0.352, Next Release: 12.100
Task 1- Release: 11.800, Completion: 11.978, Response: 0.178, WCRT: 0.327, Next Release: 12.100
Task 4- Release: 10.900, Completion: 12.084, Response: 1.184, WCRT: 1.483, Next Release: 12.100
Task 1- Release: 12.100, Completion: 12.430, Response: 0.330, WCRT: 0.330, Next Release: 12.400 ==> Task 1 violates Deadline!
Task 2- Release: 12.100, Completion: 12.447, Response: 0.347, WCRT: 0.352, Next Release: 12.500
Task 3- Release: 12.100, Completion: 12.464, Response: 0.364, WCRT: 0.364, Next Release: 12.700
Task 1- Release: 12.400, Completion: 12.612, Response: 0.212, WCRT: 0.330, Next Release: 12.700
Task 2- Release: 12.500, Completion: 12.655, Response: 0.155, WCRT: 0.352, Next Release: 12.900
Task 1- Release: 12.700, Completion: 12.847, Response: 0.147, WCRT: 0.330, Next Release: 13.000
Task 3- Release: 12.700, Completion: 12.856, Response: 0.156, WCRT: 0.364, Next Release: 13.300
Task 2- Release: 12.900, Completion: 12.967, Response: 0.067, WCRT: 0.352, Next Release: 13.300
Task 1- Release: 13.000, Completion: 13.064, Response: 0.064, WCRT: 0.330, Next Release: 13.300
Task 4- Release: 12.100, Completion: 13.083, Response: 0.983, WCRT: 1.483, Next Release: 13.300
Task 1- Release: 13.300, Completion: 13.532, Response: 0.232, WCRT: 0.330, Next Release: 13.600
Task 2- Release: 13.300, Completion: 13.559, Response: 0.259, WCRT: 0.352, Next Release: 13.700
Task 3- Release: 13.300, Completion: 13.581, Response: 0.281, WCRT: 0.364, Next Release: 13.900
Task 1- Release: 13.600, Completion: 13.687, Response: 0.087, WCRT: 0.330, Next Release: 13.900
Task 2- Release: 13.700, Completion: 13.777, Response: 0.077, WCRT: 0.352, Next Release: 14.100
Task 4- Release: 13.300, Completion: 13.891, Response: 0.591, WCRT: 1.483, Next Release: 14.500
Task 3- Release: 13.900, Completion: 14.053, Response: 0.153, WCRT: 0.364, Next Release: 14.500
Task 1- Release: 13.900, Completion: 14.066, Response: 0.166, WCRT: 0.330, Next Release: 14.200
Task 2- Release: 14.100, Completion: 14.184, Response: 0.084, WCRT: 0.352, Next Release: 14.500
Task 1- Release: 14.200, Completion: 14.278, Response: 0.079, WCRT: 0.330, Next Release: 14.500
